Date,Market_Return,Market_Volatility,Avg_Correlation,State,State_Name,Regime
2023-12-05,-0.004208564051537282,0.029226576322574083,0.25326584980095185,2,State_2,Calm
2023-12-06,0.002420955345833697,0.02912173610186988,0.25262478327480625,2,State_2,Calm
2023-12-07,0.0025497633994462235,0.02837959014422575,0.2518827804782139,2,State_2,Calm
2023-12-08,-0.006305139735332762,0.027521639316611984,0.25095586421429694,2,State_2,Calm
2023-12-11,0.00044685741211989663,0.026873752975847178,0.24709004836984297,2,State_2,Calm
2023-12-12,0.0034520045454337176,0.02692872449481732,0.2442024823042243,2,State_2,Calm
2023-12-13,0.04026340641922152,0.027445390269274537,0.26318617002343153,2,State_2,Calm
2023-12-14,0.016881156022052302,0.02741558490178141,0.26047314842171765,2,State_2,Calm
2023-12-15,-0.011273629675108024,0.027098470906433903,0.2584708800738966,2,State_2,Calm
2023-12-18,-0.0037990280130598855,0.026010436558938775,0.25738059908811833,2,State_2,Calm
2023-12-19,0.01977057557416568,0.025980871553177656,0.2629510720144059,2,State_2,Calm
2023-12-20,-0.026683764116884216,0.024795458650747268,0.2783431623699348,2,State_2,Calm
2023-12-21,0.01826126802358758,0.024536954920473468,0.2857719140280712,2,State_2,Calm
2023-12-22,0.015438653115429607,0.02329103847993032,0.2907063939244277,2,State_2,Calm
2023-12-26,0.00843425031301258,0.023084098638702304,0.2931354853521653,2,State_2,Calm
2023-12-27,0.006266458748852796,0.02296140994721894,0.29446167625168757,2,State_2,Calm
2023-12-28,0.002778108681143912,0.022212627506846154,0.29390316871789474,2,State_2,Calm
2023-12-29,-0.008604607826390375,0.02219637314297985,0.29661417716734134,2,State_2,Calm
2024-01-02,0.018590590738215774,0.02279101219133163,0.3039016634095795,2,State_2,Calm
2024-01-03,-0.015336008770793375,0.022927678135945675,0.30371699384287365,2,State_2,Calm
2024-01-04,0.00963017164713917,0.0230220732643584,0.30355041065127675,2,State_2,Calm
2024-01-05,0.0006654686579414873,0.022689594377913624,0.30173401987667103,2,State_2,Calm
2024-01-08,0.01784717129203787,0.02289460154478037,0.3088368541642836,2,State_2,Calm
2024-01-09,0.005509373775027449,0.023503501455884875,0.30229374167797474,2,State_2,Calm
2024-01-10,0.002340529705336013,0.023511819472930833,0.3024795976075306,2,State_2,Calm
2024-01-11,-0.009148192941267223,0.023734996172557966,0.30420898297409504,2,State_2,Calm
2024-01-12,-0.0029806560605921536,0.023475412228141198,0.3042484955379086,2,State_2,Calm
2024-01-16,-0.01415817197480358,0.023525330054006085,0.30402982838053677,2,State_2,Calm
2024-01-17,-0.006980504750847674,0.023198279045272108,0.30056705556060576,2,State_2,Calm
2024-01-18,0.005204596407422877,0.0232924017803668,0.29949348352312266,2,State_2,Calm
2024-01-19,0.0032254352869559876,0.023090456054956427,0.2970511130446478,2,State_2,Calm
2024-01-22,0.009651735603301724,0.02351732593960122,0.29251868725800095,2,State_2,Calm
2024-01-23,0.003100620625107494,0.023525359915264974,0.28547612594140337,2,State_2,Calm
2024-01-24,-0.01563789735565473,0.02363384004598747,0.29629865210580836,2,State_2,Calm
2024-01-25,0.0026884723074794992,0.02344378336546801,0.2834077713275255,2,State_2,Calm
2024-01-26,0.0030889342015179614,0.023338268377443048,0.28432638365473234,2,State_2,Calm
2024-01-29,0.013407183236651066,0.02111553068353081,0.297422110551864,2,State_2,Calm
2024-01-30,-0.009756529965677324,0.02036158125705476,0.3026229449210846,2,State_2,Calm
2024-01-31,-0.010717556498864415,0.02037205508719425,0.30740951093328245,2,State_2,Calm
2024-02-01,0.011451779021193398,0.02047672314606489,0.3017861417389726,2,State_2,Calm
2024-02-02,-0.009382265229459317,0.020044339971450123,0.30790448728063063,2,State_2,Calm
2024-02-05,0.00017393388271986707,0.019463708652358,0.3173205786116699,2,State_2,Calm
2024-02-06,0.01658529640544817,0.019536835143317395,0.3159925969175306,2,State_2,Calm
2024-02-07,-0.008007586810338571,0.01956169671428636,0.2840675933059218,2,State_2,Calm
2024-02-08,0.003017232356150085,0.019695136790281717,0.28409680997765646,2,State_2,Calm
2024-02-09,0.0005330667648541848,0.019866800124878986,0.2841738018869714,2,State_2,Calm
2024-02-12,0.00809210124197799,0.02009216791931706,0.275225459024265,2,State_2,Calm
2024-02-13,-0.023080417953939385,0.020734609187578263,0.2904868640228163,2,State_2,Calm
2024-02-14,0.016829682859826993,0.020235464050145542,0.29330934509265866,2,State_2,Calm
2024-02-15,0.022083123988613427,0.020400097751740134,0.3015698318401942,2,State_2,Calm
2024-02-16,-0.000845525919007688,0.02039775431458848,0.29798582686479375,2,State_2,Calm
2024-02-20,-0.004692664076061687,0.020494143582540553,0.3016499331425844,2,State_2,Calm
2024-02-21,-0.005735866520701423,0.020360996898387253,0.3020076372133886,2,State_2,Calm
2024-02-22,0.016962310290135632,0.020625876384512378,0.29835229522003537,2,State_2,Calm
2024-02-23,0.005145404469533143,0.020667762606992168,0.2933510840153744,2,State_2,Calm
2024-02-26,0.001731606180356851,0.02062608860429503,0.2906976221701085,2,State_2,Calm
2024-02-27,0.013895538338389697,0.021029855570511794,0.2873149416501849,2,State_2,Calm
2024-02-28,-0.018006020042744326,0.02168743020205092,0.29282990331120423,2,State_2,Calm
2024-02-29,-0.016782496621676215,0.02232110361946517,0.2984555630909642,2,State_2,Calm
2024-03-01,0.01790593310186773,0.0224961152361403,0.30114959483249143,2,State_2,Calm
2024-03-04,-0.006583552561171024,0.022707282134418607,0.3001369381223128,2,State_2,Calm
2024-03-05,-0.010975350230071622,0.0224705195517224,0.30401198593210826,2,State_2,Calm
2024-03-06,0.007737552018171481,0.022688058706062556,0.3043841146890785,2,State_2,Calm
2024-03-07,0.009182835903188177,0.0226666576843321,0.30351612041121495,2,State_2,Calm
2024-03-08,0.000472488248131336,0.022681206234692844,0.30516222622550626,2,State_2,Calm
2024-03-11,0.0013722633959060222,0.022905586892036582,0.3038301035974293,2,State_2,Calm
2024-03-12,-0.00914866223186174,0.023122093421284573,0.28283362592750527,2,State_2,Calm
2024-03-13,-0.00058827378128461,0.023053895159553164,0.28888311419906987,2,State_2,Calm
2024-03-14,-0.018473985145795117,0.023139049268274377,0.29295255848492413,2,State_2,Calm
2024-03-15,-0.001452117201075515,0.02288118271632795,0.294210223911549,2,State_2,Calm
2024-03-18,-0.002041161688827587,0.022864854851480113,0.2885457186151467,2,State_2,Calm
2024-03-19,0.00594471289858703,0.02275608069648247,0.2696697682855708,2,State_2,Calm
2024-03-20,0.0006671764130499948,0.02247590342693779,0.25897038576626163,2,State_2,Calm
2024-03-21,0.0036078312773466623,0.022158647548559902,0.2541420577539598,2,State_2,Calm
2024-03-22,-0.006524223387478202,0.022026654677390355,0.2546358269590692,2,State_2,Calm
2024-03-25,-0.0009461917954956914,0.022050994233299568,0.251180841951233,2,State_2,Calm
2024-03-26,0.005249896263152926,0.022139046980122888,0.24960304107193684,2,State_2,Calm
2024-03-27,0.01604640461595877,0.021792107565152114,0.25473215214233325,2,State_2,Calm
2024-03-28,-6.791700940150551e-05,0.021377891667171633,0.2455339160941008,2,State_2,Calm
2024-04-01,-0.00906984308086007,0.02063480344299612,0.24755849442698866,2,State_2,Calm
2024-04-02,-0.021573093635668263,0.020964231477947494,0.26094128836227376,2,State_2,Calm
2024-04-03,0.0009866047950637129,0.02095590491312669,0.2608466807989225,2,State_2,Calm
2024-04-04,-0.011667276063878532,0.020937725475578844,0.25887007904823894,2,State_2,Calm
2024-04-05,0.010261756738396553,0.02034433315869173,0.26678676753101593,2,State_2,Calm
2024-04-08,0.0035309545273495713,0.020198664323988973,0.2683882752371688,2,State_2,Calm
2024-04-09,0.010584462090316474,0.020308372034853646,0.27356776840205427,2,State_2,Calm
2024-04-10,-0.01418057835687835,0.01996457070298364,0.28287042803240287,2,State_2,Calm
2024-04-11,0.00011308266508143345,0.019248951566119835,0.27700051873411397,2,State_2,Calm
2024-04-12,-0.02284735086874256,0.018855298376253955,0.2901869275311182,2,State_2,Calm
2024-04-15,-0.016787933313991275,0.018671746971209158,0.29297486632368336,2,State_2,Calm
2024-04-16,-0.005285719673616533,0.01851025808951338,0.2913036006575916,2,State_2,Calm
2024-04-17,-0.006272455361824558,0.018570194197267433,0.2924651384716537,2,State_2,Calm
2024-04-18,-0.006085264363631261,0.018278821363923423,0.2933793955433579,2,State_2,Calm
2024-04-19,-0.0005166111548328179,0.0181266079109668,0.2857817731466017,2,State_2,Calm
2024-04-22,0.012683237296402545,0.018310116196368686,0.2909841915513362,2,State_2,Calm
2024-04-23,0.016847533009657762,0.018357447580643598,0.2968238814520267,2,State_2,Calm
2024-04-24,-0.0007423071329059901,0.01793205223236209,0.2903176301637575,2,State_2,Calm
2024-04-25,-0.011850882166528779,0.018188252487205996,0.28912598155859714,2,State_2,Calm
2024-04-26,0.0033845157781389225,0.018216888282427506,0.2864969020484271,2,State_2,Calm
2024-04-29,0.011863129560626762,0.018400486213220327,0.2863815454339648,2,State_2,Calm
2024-04-30,-0.008041304004719543,0.01864070834837354,0.2840593987221192,2,State_2,Calm
2024-05-01,0.018592754804323607,0.01955908393675083,0.2868894558732835,2,State_2,Calm
2024-05-02,0.006883607160663026,0.020044267240870457,0.2728149612866179,2,State_2,Calm
2024-05-03,0.011913696431801686,0.02052439872234467,0.2731820268274885,2,State_2,Calm
2024-05-06,0.0033861926749892365,0.020612026952643248,0.2754475421034514,2,State_2,Calm
2024-05-07,-0.004782039936264429,0.020698946437241076,0.2732489257105215,2,State_2,Calm
2024-05-08,-0.009476389925785839,0.020599173354111846,0.2744026142947239,2,State_2,Calm
2024-05-09,0.002023666207276244,0.02061179051550852,0.26226173180606754,2,State_2,Calm
2024-05-10,0.019708007212823855,0.024577360242464267,0.25195206833232947,2,State_2,Calm
2024-05-13,0.026217429286708747,0.025552745351020048,0.2427234555336094,2,State_2,Calm
2024-05-14,0.004986884532178872,0.024877330917532553,0.24727687243887383,2,State_2,Calm
2024-05-15,0.012572016131348973,0.02510995478342039,0.2521645926969151,2,State_2,Calm
2024-05-16,0.00045108251584733333,0.02484782583797102,0.25408491219510965,2,State_2,Calm
2024-05-17,-0.0060561324881002595,0.024718586957606543,0.2498356966079779,2,State_2,Calm
2024-05-20,0.0031172765132851657,0.024810579836947313,0.2488063626572661,2,State_2,Calm
2024-05-21,0.00019397515305960824,0.024559336918308305,0.25048837927219275,2,State_2,Calm
2024-05-22,0.009680684258516883,0.024838477834627424,0.24917023537555774,2,State_2,Calm
