Ticker1,Ticker2,GNNSimilarity,EmbeddingDistance,WasTrained,ActualPnL,ActualWinRate,ActualTrades
IHI,RXL,0.10257028788328171,0.26468369364738464,False,,,
JNJ,RXL,0.1003270149230957,0.24083122611045837,False,,,
IHI,XLV,0.09990637004375458,0.2817327380180359,False,,,
UNH,VHT,0.09756509214639664,0.36513370275497437,False,,,
MRK,VHT,0.09118980169296265,0.28775084018707275,False,,,
ALGN,RXL,0.09053856134414673,0.2777378559112549,False,,,
JNJ,VHT,0.08845925331115723,0.26818346977233887,False,,,
IHF,VHT,0.08712528645992279,0.3342674672603607,False,,,
ACAD,RXL,0.08509083092212677,0.23013272881507874,True,12.82796074188288,100.0,12.0
RXL,TMO,0.08493052423000336,0.17762014269828796,True,9.212772354226912,100.0,34.0
IHI,VHT,0.08488380908966064,0.30922091007232666,False,,,
ALGN,XLV,0.0842578113079071,0.3060847520828247,False,,,
TMO,XLV,0.08383128046989441,0.19425614178180695,False,,,
ACAD,XLV,0.07931602001190186,0.2617226541042328,False,,,
IBB,INCY,0.07673448324203491,0.47099971771240234,False,,,
TMO,VHT,0.07122819870710373,0.22167709469795227,False,,,
ALGN,VHT,0.07081831991672516,0.32675066590309143,False,,,
IBB,PFE,0.06931935250759125,0.46238112449645996,False,,,
ACAD,VHT,0.0669686496257782,0.2817668914794922,False,,,
IBB,UNH,0.0663086399435997,0.42279699444770813,False,,,
ALGN,IBB,0.06438711285591125,0.3202345073223114,False,,,
IBB,IHF,0.06397762149572372,0.37543556094169617,False,,,
RXL,VEEV,0.06348475813865662,0.23317603766918182,False,,,
IBB,IHI,0.06102816015481949,0.3553176820278168,False,,,
VEEV,XLV,0.05635819956660271,0.2694665789604187,False,,,
ACAD,IBB,0.05524703115224838,0.2928439676761627,False,,,
RXL,XLV,0.05193246901035309,0.04577193036675453,False,,,
IBB,VEEV,0.051745280623435974,0.22574090957641602,False,,,
IBB,MRK,0.05030862241983414,0.3840373158454895,False,,,
IBB,TMO,0.048093102872371674,0.27987974882125854,False,,,
VEEV,VHT,0.047748714685440063,0.2757359743118286,False,,,
VHT,XLV,0.047499947249889374,0.03387165814638138,False,,,
IBB,JNJ,0.04634210094809532,0.37293222546577454,False,,,
RXL,VHT,0.04468338191509247,0.05284291133284569,False,,,
IBB,RXL,0.02326601929962635,0.16896407306194305,False,,,
ABBV,XBI,0.020269135013222694,0.6902163028717041,False,,,
IBB,XLV,0.01936301589012146,0.20085546374320984,False,,,
IBB,VHT,0.015873514115810394,0.1830875277519226,False,,,
GILD,XBI,0.01395748183131218,1.0826876163482666,False,,,
IBB,XBI,0.0052164169028401375,0.21733802556991577,False,,,
VEEV,XBI,0.0004973886534571648,0.40365028381347656,True,13.41462671264661,100.0,19.0
REGN,XBI,3.3629126846790314e-05,0.39257222414016724,False,,,
ALGN,XBI,-0.015293118543922901,0.5209504961967468,False,,,
ACAD,XBI,-0.021322239190340042,0.49837231636047363,False,,,
RXL,XBI,-0.024258151650428772,0.36479586362838745,False,,,
VHT,XBI,-0.026874326169490814,0.35846275091171265,False,,,
XBI,XLV,-0.030449122190475464,0.38658246397972107,False,,,
TMO,XBI,-0.03078564628958702,0.49554917216300964,False,,,
IHI,XBI,-0.03321408852934837,0.5693979263305664,False,,,
IHF,XBI,-0.033619992434978485,0.5878995656967163,False,,,
REGN,VHT,-0.03521902114152908,0.4818896949291229,False,,,
INCY,XBI,-0.03876106068491936,0.6799342632293701,False,,,
UNH,XBI,-0.042656198143959045,0.6373113989830017,False,,,
REGN,XLV,-0.04355781525373459,0.5125389695167542,False,,,
IBB,REGN,-0.04478989541530609,0.4840260148048401,False,,,
